"","area","area_title","area_type","naics","naics_title","i_group","own_code","occ_code","occ_title","o_group","tot_emp","emp_prse","jobs_1000","loc_quotient","pct_total","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly"
"350","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","33-9098","School Bus Monitors and Protective Service Workers, All Other","detailed","550","40.9","0.55500000000000005","0.56000000000000005",NA,"*","*","*","*","*","*","*","*","*","*","*","*","*",NA,NA
"351","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-0000","Food Preparation and Serving Related Occupations","major","83160","1.2","84.685000000000002","0.92",NA,"12.23","25440","1","9.44","9.91","11.2","13.3","16.53","19640","20620","23300","27670","34380",NA,NA
"352","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-1011","Chefs and Head Cooks","detailed","590","15.7","0.59799999999999998","0.69",NA,"21.28","44270","3.2","12.85","15.32","20.32","26.64","31.05","26730","31870","42260","55420","64590",NA,NA
"353","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","detailed","7510","11.3","7.6459999999999999","1.1100000000000001",NA,"15.11","31430","1.7","10.75","12.28","14.49","17.39","20.41","22360","25540","30130","36160","42440",NA,NA
"354","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-2011","Cooks, Fast Food","detailed","1760","18.7","1.788","0.5",NA,"11.14","23170","1.9","9.4499999999999993","9.8800000000000008","10.16","11.96","14.23","19650","20540","21130","24890","29600",NA,NA
"355","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-2012","Cooks, Institution and Cafeteria","detailed","3870","9.8000000000000007","3.944","1.44",NA,"13.44","27950","1.2","9.98","11.13","13.07","15.22","17.93","20760","23160","27190","31650","37290",NA,NA
"356","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-2014","Cooks, Restaurant","detailed","7040","6.5","7.1639999999999997","0.75",NA,"14.01","29140","1.9","10.54","12.11","13.71","15.25","18.190000000000001","21930","25190","28520","31710","37840",NA,NA
"357","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-2015","Cooks, Short Order","detailed","1220","21.2","1.2410000000000001","1.19",NA,"12.45","25890","2.2000000000000002","9.93","10.7","12.13","13.96","15.18","20660","22260","25220","29040","31580",NA,NA
"358","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-2021","Food Preparation Workers","detailed","4050","8.6","4.12","0.7",NA,"12.56","26120","1.4","9.94","10.72","12.13","13.82","15.2","20670","22300","25220","28740","31610",NA,NA
"359","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-3011","Bartenders","detailed","4490","7.3","4.57","1.04",NA,"10.76","22380","1.7","9.27","9.59","9.8699999999999992","11.17","12.71","19280","19940","20540","23240","26440",NA,NA
"360","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-3023","Fast Food and Counter Workers","detailed","28830","3.6","29.355","1.08",NA,"11.12","23130","0.7","9.4700000000000006","9.93","10.8","11.84","12.88","19700","20660","22470","24640","26780",NA,NA
"361","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-3031","Waiters and Waitresses","detailed","15190","3.8","15.471","0.88",NA,"12.34","25670","4","9.18","9.4499999999999993","9.92","13.04","19.52","19090","19650","20630","27130","40610",NA,NA
"362","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-3041","Food Servers, Nonrestaurant","detailed","2730","14.1","2.7810000000000001","1.47",NA,"12.02","25000","1.7","9.61","10.36","11.57","13.29","14.89","19990","21540","24070","27650","30980",NA,NA
"363","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","detailed","1470","21.4","1.4930000000000001","0.46",NA,"10.78","22410","2.2000000000000002","9.52","9.74","10.029999999999999","11.38","12.58","19810","20270","20860","23670","26170",NA,NA
"364","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-9021","Dishwashers","detailed","2280","8.6","2.3170000000000002","0.66",NA,"11.27","23440","1.2","9.5299999999999994","10.14","11.1","12.07","13.09","19820","21090","23090","25110","27230",NA,NA
"365","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","detailed","1890","14.1","1.929","0.67",NA,"11.2","23290","2.2000000000000002","9.26","9.77","10.7","11.95","13.73","19260","20320","22250","24850","28560",NA,NA
"366","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","35-9099","Food Preparation and Serving Related Workers, All Other","detailed","230","20","0.23699999999999999","0.48",NA,"12.53","26060","5.7","9.7799999999999994","9.92","11.11","14.23","17.28","20340","20630","23120","29600","35950",NA,NA
